website_type,safety_r,reputation,trustworthiness,child_safety,sentiment
2,1,2.5,50,46,0.454697575
2,1,0,0,0,0.334090909
2,1,0,0,0,0.253333333
2,2,4.5,89,87,0.434141988
3,2,4.3,86,84,0.15
2,2,3.1,63,68,0.46865873
2,2,4,81,84,0.434835984
2,2,4.7,94,82,0.306149733
2,1,4.3,87,0,0.40625
5,2,4.3,86,88,0.443154762
2,2,3.5,69,70,0.40771722
2,2,4.5,89,87,0.419880229
8,2,4.6,92,92,0.39767316
2,1,0,0,0,0.335416667
2,2,3.5,69,70,0.401108289
2,1,0,0,0,0.34950325
2,2,3.9,77,99,0.506450865
2,2,4.5,89,87,0.38029415
2,1,0,0,0,0.489393939
2,1,4.6,92,90,0.348162941
2,2,3.1,63,68,0.875
2,1,0,0,0,0.383333333
2,0,1.2,24,28,0.442291667
2,1,0,0,0,0.397901876
2,1,0,0,0,0.489563185
2,1,3.3,65,84,0.35719697
2,1,0,0,0,0.25537037
2,1,0,0,0,0.458983641
2,1,2.5,50,0,0.330767652
2,1,0,0,0,0.306926407
2,1,4.3,87,0,0.680769231
2,1,2.5,50,0,0.433524904
2,1,4.6,92,90,0.587323481
2,1,0,0,0,0.420509762
2,2,3.9,77,99,0.200487872
2,2,3.9,77,99,0.394088738
2,1,0,0,0,0.554842543
2,2,4.5,89,87,0.459929078
2,1,2.9,57,71,0.457800284
2,2,3.1,63,68,0.384271099
2,2,4.5,89,87,0.424500719
2,1,0,0,0,0.384683341
2,1,0,0,0,0.517029221
2,2,4.3,87,87,0.372990916
2,1,0,0,0,0.47892785
2,2,3.1,63,68,0.531691919
2,1,0,0,0,0.477678571
2,2,4,81,76,0.462891156
2,1,0,0,0,0.345292208
8,2,4.6,92,92,0.546333333
2,2,4.3,87,87,0.536202686
2,1,0,0,0,0.474131944
2,1,2.5,50,29,0.540344278
2,2,4,81,85,0.62375
1,2,3.6,72,85,0.432389832
2,1,0,0,0,0.545454545
2,2,4.5,89,87,0.370132655
2,1,0,0,0,0.4625
2,1,4.3,87,0,0.65
2,1,0,0,0,0.457804648
2,2,4,81,76,0.316287879
2,2,3.9,77,99,0.561429156
2,1,0,0,0,0.602839782
2,2,4.7,94,82,0.464365664
2,1,0,0,0,0.383333333
2,1,0,0,0,0.300505051
2,2,4.7,94,94,0.417624855
2,1,4,80,93,0.550297619
2,1,0,0,0,0.467857143
2,2,4.7,94,82,0.475829726
2,1,4,80,93,0.441666667
2,1,0,0,0,0.358658009
2,1,4,80,93,0.432666667
3,1,2.5,50,52,0.576654909
2,1,2.5,50,0,0.73974359
2,1,0,0,0,0.373768351
2,1,3,60,0,0.472354114
2,2,3.1,63,68,0.471551724
8,2,4.6,92,92,0.403030303
2,1,0,0,0,0.29925362
2,1,0,0,0,0.383426704
2,2,3.1,63,68,0.542582418
2,1,0,0,0,0.406990232
2,2,4,81,76,0.451412816
2,1,0,0,0,0.434891775
2,1,2.8,56,56,0.6175
4,1,2.4,48,28,0.476903139
2,1,0,0,0,0.363888889
2,2,4.3,86,89,0.547737374
2,1,4.3,87,0,0.37967773
2,2,3.9,77,99,0.5
2,2,4,81,76,0.359030486
2,1,0,0,0,0.481293385
2,2,4.5,90,89,0.376055499
2,1,0,0,0,0.493988095
2,1,2.1,42,58,0.328571429
2,1,3,61,68,0.509667648
2,2,3.1,63,68,0.52359561
2,1,4.6,92,90,0.3254995
2,2,4.1,82,86,0.279315476
2,1,2.5,50,0,0.494444444
2,1,0,0,0,0.344166667
2,2,4.7,94,94,0.437875481
2,1,0,0,0,0.528535354
2,1,4,80,93,0.571649184
2,1,2.5,49,51,0.488869048
2,2,3.1,63,68,0.378548086
2,1,0,0,0,0.299859307
7,2,4.7,93,89,0.533225108
2,1,4,80,93,0.406719368
2,2,4.5,89,87,0.469595324
2,2,4.3,86,89,0.363455988
3,1,2.5,50,52,0.379244453
2,2,4.5,89,87,0.357199797
2,1,0,0,0,0.348412698
2,1,4.3,87,0,0.48552963
2,2,3.1,63,68,0.415747126
2,1,2.5,50,0,0.347619048
2,1,3.3,65,84,0.468324757
2,2,3.1,63,68,0.598848605
2,1,0,0,0,0.377749466
2,1,2.8,56,56,0.301670844
2,1,4.3,87,0,0.401591045
2,1,0,0,0,0.507184343
2,1,0,0,0,0.386404184
2,1,4.3,87,0,0.311848073
2,2,3.1,63,68,0.473911529
2,1,1.6,33,31,0.690202621
2,1,4.3,87,0,0.464854769
2,2,4.5,89,87,0.443410918
2,2,3.1,63,68,0.35105364
2,2,3.1,63,68,0.571041667
2,2,3.1,63,68,0.49054061
3,1,3.9,78,82,0.239049587
2,2,3.1,63,68,0.399163449
2,1,0,0,0,0.661458333
2,1,2.1,42,58,0.364766082
2,1,0,0,0,0.387799623
2,2,4.7,93,92,0.406616162
2,1,4.6,92,90,0.533443223
2,1,0,0,0,0.309548611
2,2,4.7,94,82,0.501449275
2,1,0,0,0,0.468618101
2,2,3.5,69,70,0.330964282
2,2,4.7,94,82,0.32760989
3,2,4.3,86,84,0.5
2,2,4,81,76,0.197619048
2,2,3.5,69,70,0.468120227
2,1,3.4,68,79,0
2,1,3.4,68,79,0.457612808
2,1,0,0,0,0.187621151
2,1,0,0,0,0.377913753
2,2,4.5,91,53,0.487400794
2,2,4.7,94,94,0.451992225
2,1,0,0,0,0.348484848
2,1,3.4,68,79,0.451455026
2,2,3.1,63,68,0.439243943
2,1,4.3,87,0,0.447359963
2,1,4.3,87,0,0.48261034
2,2,4.5,89,87,0.419406751
2,2,3.1,63,68,0.497058488
2,1,0,0,0,0.515559764
2,2,3.1,63,68,0.444534203
1,2,4.5,90,90,0.417910768
2,1,2.8,56,56,0.420540838
2,2,4.5,89,88,0.489999359
2,1,0,0,0,0.614069264
2,1,0,0,0,0.495424837
2,2,3.1,63,68,0.442692308
2,1,0,0,0,0.448825307
2,1,3.1,63,77,0.364609002
2,2,3.1,63,68,0.398577864
2,2,3.5,69,70,0.445163571
3,2,4.3,86,84,0.35
2,1,0,0,0,0.393877165
2,2,4.7,94,94,0.477576811
2,1,2.5,50,29,0.453126012
2,2,3.9,77,99,0.526471512
2,0,1.2,24,28,0.44375
2,2,4,81,76,0.543518519
2,1,2.5,50,29,0.477515444
2,2,3.1,63,68,0.446755369
2,2,4.5,89,87,0.390597729
2,1,2.9,57,71,0.457482913
2,1,3.4,68,79,0.475858586
2,1,0,0,0,0.515348124
2,0,1.2,24,28,0.572077922
2,2,4,81,76,0.36932966
2,1,0,0,0,0.438688578
2,1,0,0,0,0.293903319
2,2,3.5,69,70,0.355980333
2,2,4.7,94,94,0.497616959
2,1,4,80,93,0.335449735
2,1,3.1,63,77,0.332628571
2,1,4.3,86,100,0.200592449
2,1,0,0,0,0.875
2,1,4.3,86,100,0.431292833
2,1,4.3,87,0,0.508783269
8,2,4.6,92,92,0.281481481
2,1,0,0,0,0.554712341
2,1,4,80,93,0.458110119
2,2,4.7,94,94,0.475638436
2,2,4.7,94,82,0.488974567
2,2,3.1,63,68,0.424411128
8,2,4.6,92,92,0.496952381
2,1,2.8,56,56,0.302742195
2,1,0,0,0,0.595089286
2,1,2.1,42,58,0.406712963
2,1,2.5,50,29,0.362687495
2,2,3.1,63,68,0.38216025
2,1,2.8,56,56,0.410729437
2,1,2.5,50,0,0.407310606
2,2,4.5,89,87,0.414072837
2,1,0,0,0,0.403795094
2,1,2.4,48,3,0.305555556
2,2,3.5,69,70,0.35496633
2,1,4.3,87,0,0.42164787
3,2,4.2,83,86,0.448316017
2,2,3.5,69,70,0.423977874
1,2,3.6,72,85,0.416948175
2,1,0,0,0,0.166527778
2,1,4.3,86,100,0.465865633
2,1,3.1,63,77,0.357960707
2,1,4,80,93,0.482063492
2,2,3.5,69,70,0.471061547
2,1,0,0,0,0.220447749
3,2,4.3,86,84,0.4
2,1,0,0,0,0.395642466
8,2,4.6,92,92,0.293988095
2,1,0,0,0,0.445416667
2,1,2.1,42,58,0.653333333
2,1,0,0,0,0.328143939
2,0,1.2,24,28,0.264814815
2,2,4.5,89,87,0.328251303
2,2,3.1,63,68,0.667424242
1,2,3.6,72,85,0.51671832
2,1,2.5,50,29,0.534995895
2,1,2.5,50,0,0.437698413
2,1,0,0,0,0.492817571
2,2,4.5,89,87,0.38
2,1,0,0,0,0.290117845
2,1,3,60,55,0.480125319
2,1,2.9,57,71,0.395441293
2,1,0,0,0,0.565972222
2,1,0,0,0,0.535097687
2,2,3.5,69,70,0.400152229
2,2,3.5,69,70,0.444488516
2,2,3.5,69,70,0.392471086
2,1,0,0,0,0.39273183
2,1,0,0,0,0.46965873
1,2,4.5,90,90,0.513425926
2,1,0,0,0,0.407222222
2,2,3.5,69,70,0.393670717
2,1,0,0,0,0.325
2,2,3.5,69,70,0.426970802
2,1,4,80,93,0.587581699
2,2,4,81,76,0.445670996
2,1,0,0,0,0.533712121
2,1,0,0,0,0.67
2,1,0,0,0,0.415897066
8,2,4.6,92,92,0.238461538
2,2,4.1,82,90,0.740588116
2,2,4.1,82,86,0.437975702
2,1,1.6,33,31,0.466834734
6,1,2.3,45,41,0.516924675
2,2,4.3,86,89,0.453851402
2,2,3.1,63,68,0.304507811
2,2,4.7,94,82,0.449350649
2,1,0,0,0,0.245463253
2,2,3.1,63,68,0.472967358
2,1,0,0,0,0.510767316
2,1,0,0,0,0.376041667
2,1,0,0,0,0.409036973
2,2,3.5,69,70,0.355688279
2,1,4,80,93,0.564652015
1,2,4.5,90,90,0.477047619
2,2,3.1,63,68,0.452235772
2,1,4.7,94,61,0.387574272
2,1,2.4,48,3,0.472559487
2,1,3.3,66,61,0.151515152
2,1,0,0,0,0.369674494
2,2,4.7,94,94,0.492104543
2,1,0,0,0,0.44987437
2,2,3.1,63,68,0.281510417
2,1,0,0,0,0.49109063
2,1,0,0,0,0.37512285
2,1,0,0,0,0.457051282
2,1,0,0,0,0.325226757
2,1,4,80,93,0.519028723
2,1,3.4,68,79,0.413733394
2,1,4.3,87,0,0.470491242
2,2,4.5,89,87,0.40767071
2,2,3.1,63,68,0.472624684
2,1,0,0,0,0.490999412
2,2,3.9,77,99,0.25
2,1,0,0,0,0.489452561
2,1,2.5,50,0,0.360871212
2,1,2.5,50,29,0.411612979
2,1,0,0,0,0.353628118
2,1,4,80,93,0.417283951
2,1,0,0,0,0.436111111
2,2,4.5,89,87,0.329565099
2,1,3,61,62,0.683766234
2,2,3.1,63,68,0.401136364
2,1,0,0,0,0.260606061
2,2,3.9,77,99,0.470735786
2,1,0,0,0,0.485858586
2,1,4,80,93,0.57173913
2,2,4.3,85,86,0.41979782
2,0,1.2,24,28,0.55
2,2,3.5,69,70,0.412884113
2,1,0,0,0,0.356052245
2,1,0,0,0,0.425454545
2,2,4.3,87,87,0.441879026
2,1,0,0,0,0.467824074
2,1,0,0,0,0.382783883
2,1,4.2,84,0,0.089285714
2,1,3.3,66,61,0.412184196
2,1,0,0,0,0.505333366
1,2,3.6,72,85,0.557256236
2,1,2.5,50,0,0.505883251
2,1,3.4,68,79,0.349411649
1,2,3.6,72,85,0.388748097
2,1,2.5,50,29,0.256623049
2,1,0,0,0,0.333333333
2,1,2.8,56,56,0.487121212
2,2,4.1,82,90,0.523504274
2,1,4,80,93,0.450666439
2,1,0,0,0,0.331565657
2,1,0,0,0,0.744444444
2,1,2.5,50,11,0.232706767
2,1,0,0,0,0.402702703
2,1,0,0,0,0.378869048
1,2,3.6,72,85,0.436306599
2,1,2.5,50,0,0.464403292
2,1,2.5,50,11,0.322671156
2,1,0,0,0,0.433041958
2,1,0,0,0,0.428737542
2,2,3.1,63,68,0.429106428
2,2,3.1,63,68,0.266798942
2,2,4,81,76,0.326402918
1,1,2.9,58,76,0.545289855
2,2,4.1,82,86,0.461238974
2,1,0,0,0,0.427813853
2,1,0,0,0,0.38447205
2,1,0,0,0,0.507945869
2,1,4.3,87,0,0.389257002
1,1,3,60,54,0.6875
2,1,0,0,0,0.571666667
1,2,3.6,72,85,0.401398601
2,1,0,0,0,0.437032086
2,1,0,0,0,0.16547619
2,1,0,0,0,0.395192308
2,1,4,80,93,0.615674603
2,2,4,81,76,0.4375
2,1,4,80,93,0.694128788
2,1,0,0,0,0.487445887
2,1,2.5,49,51,0.417261905
2,2,4.7,94,82,0.403703704
2,2,4.1,82,86,0.6
2,1,0,0,0,0.50238837
2,1,4.6,92,90,0.480062823
2,2,4.7,94,82,0.269967532
2,1,0,0,0,0.44625
2,1,0,0,0,0.716666667
2,1,0,0,0,0.389177489
2,2,4.3,87,87,0.469601462
2,2,4.7,94,82,0.486805312
2,2,3.1,63,68,0.484920635
2,2,3.1,63,68,0.361111111
2,2,4.7,94,82,0.53030303
2,1,4.3,87,0,0.5
2,1,0.3,7,29,0.213888889
2,2,4.5,89,87,0.385409091
2,1,2.5,50,0,0.472929607
2,1,0,0,0,0.358664021
2,2,3.1,63,68,0.464454853
2,1,4,80,93,0.45797619
2,2,4.7,94,82,0.327638889
1,2,4.5,90,90,0.57213955
2,2,4.3,87,87,0.306344339
2,1,4.3,87,0,0.416017316
2,2,4.5,89,87,0.446200261
2,1,0,0,0,0.286875
2,2,3.1,63,68,0.433910344
2,2,3.1,63,68,0.275
2,2,4.7,94,82,0.506087662
2,2,4.7,94,82,0.464365664
2,1,4.3,87,0,0.43026418
2,1,0,0,0,0.28731685
2,2,3.8,75,95,0.506417112
2,1,3.3,66,61,0.331428571
2,1,2.5,50,0,0.466087344
2,1,0,0,0,0.377777778
2,2,4.7,94,82,0.463383838
2,1,3.6,72,80,0.473375861
2,2,3.1,63,68,0.529332904
2,1,0,0,0,0.489880952
2,1,2.5,50,0,0.368822394
2,1,3.3,66,61,0
2,1,4,80,93,0.433167388
2,1,2.5,49,51,0.354571691
2,1,0,0,0,0.456742424
2,2,3.1,63,68,0.575504299
2,2,4.7,94,82,0.450882035
2,1,4,80,93,0.563988095
2,1,0,0,0,0.445112414
2,1,2.1,42,58,0.088888889
2,2,3.1,63,68,0.484746873
2,2,4.7,94,82,0.336265432
2,1,0,0,0,0.451022902
2,2,4.7,94,82,0.407407407
2,1,0,0,0,0.36993007
2,1,3.3,65,84,0.393878788
2,2,3.1,63,68,0.360549041
3,1,3.9,78,82,0.501561412
2,2,4.7,94,82,0.458724463
2,1,0,0,0,0.88
2,1,0,0,0,0.428733766
2,1,2.8,56,56,0.6175
2,1,4.3,87,0,0.480657933
2,1,4.3,87,0,0.422097215
3,1,3.9,78,82,0.370454545
2,1,4.3,87,0,0.446246693
2,2,4.7,94,82,0.467384159
2,1,2.1,42,58,0.407857143
2,2,3.1,63,68,0.426256614
2,1,4,80,93,0.445192308
2,1,4.3,87,0,0.481746032
2,1,0,0,0,0.266666667
2,1,3.3,66,61,0.378230585
2,1,3.3,66,61,0.254133598
2,1,0,0,0,0.303703704
2,1,0,0,0,0.44538961
2,1,0,0,0,0.428571429
2,1,2.4,48,3,0.452207341
2,2,4.5,89,87,0.356404618
2,1,0,0,0,0.442911923
2,2,4.7,94,82,0.357575758
2,1,4,80,93,0.611771978
2,1,0,0,0,0.395959596
2,1,0,0,0,0.454254956
2,1,3.8,76,97,0.247222222
2,1,2.8,56,56,0.377651515
2,1,4.3,87,0,0.475939519
2,2,4.7,94,82,0.336265432
2,2,4.7,94,82,0.38757764
3,1,3.9,78,82,0.3498266
2,2,3.1,63,68,0.300181818
2,1,3,60,0,0.465565476
2,1,3.1,63,77,0.4372114
2,1,4,80,93,0.474677056
2,1,2.8,56,56,0.433974359
2,1,0,0,0,0.329347826
2,1,4,80,93,0.433860029
2,1,2.1,42,58,0.489328063
1,1,3,60,54,0.401175015
2,1,2.5,50,11,0.407605718
2,2,4.7,94,82,0.49251342
2,2,3.1,63,68,0.382403581
2,1,2.5,50,0,0.291304348
2,1,4,80,93,0.346428571
2,1,2.8,56,56,0.228012821
2,1,3.1,63,77,0.451681784
2,1,4,80,93,0.418268537
2,1,0,0,0,0.521587302
2,1,4.3,87,0,0.474479167
2,2,4.3,87,87,0.399284231
2,1,3.1,63,77,0.422124324
2,1,0,0,0,0.392857143
2,2,3.5,70,74,0.57247615
2,2,4.3,86,89,0.490351952
2,1,4,80,93,0.519761905
2,2,4.7,94,82,0.417548205
2,1,3.3,66,61,0.385714286
2,1,0,0,0,0.521794872
2,1,0,0,0,0.407142857
2,1,4,80,93,0.318660287
2,1,0,0,0,0.423989899
2,1,4,80,93,0.430833333
2,2,3.1,63,68,0.573834325
2,1,0,0,0,0.422249589
2,1,4,80,93,0.474537037
2,1,4.3,87,0,0.444976551
2,2,4.1,82,90,0.50085639
2,1,2.5,50,38,0.43003663
2,1,3.1,63,77,0.423575036
2,2,3.5,69,70,0.372236403
2,1,4,80,93,0.547807622
2,2,4,81,84,0.518711126
2,1,2.5,50,29,0.496419449
2,1,2.8,56,56,0.444010417
2,1,0,0,0,0.331780303
2,1,0,0,0,0.336530612
2,1,0,0,0,0.391666667
2,1,3,69,60,0.500462963
2,2,4.3,86,89,0.534413096
2,2,3.1,63,68,0.381920815
2,2,3.9,77,99,0.333333333
2,1,4.3,87,0,0.39
2,2,3.1,63,68,0.522796143
2,1,4,80,93,0.490227273
2,1,3.4,68,79,0.493589744
2,1,0,0,0,0.419206349
2,1,0,0,0,0.425373561
2,1,4.6,92,90,0.356299603
2,1,4,80,93,0.522777778
2,2,4.5,89,87,0.394533347
2,2,3.1,63,68,0
2,1,4,80,93,0.315052701
2,2,4.7,94,82,0.412066478
2,2,4.7,94,94,0.505668439
2,1,0,0,0,0.429333333
2,1,3.2,64,98,0.45
2,2,4,81,84,0.445531082
3,1,2.5,50,52,0.413762626
7,2,4.7,93,89,0.456313131
2,2,4.7,94,82,0.37119883
2,2,4.7,94,82,0.425128205
2,1,4.2,84,0,0.4625
2,1,2.4,48,3,0.463727939
2,1,0,0,0,0.319047619
2,1,0,0,0,0.438095238
2,1,0,0,0,0.324816387
2,1,2.5,50,11,0.493333333
2,1,0,0,0,0.525
2,2,3.1,63,68,0.600793651
2,1,4,80,93,0.766666667
2,2,4.7,94,82,0.290734266
2,2,3.1,63,68,0.442250406
2,0,1.2,24,28,0.357142857
2,1,0,0,0,0.373364937
2,2,3.9,78,79,0.383531406
2,2,3.1,63,68,0.458677638
2,1,2.5,50,29,0.461018379
2,1,2.1,42,58,0.269117647
2,2,3.1,63,68,0.475760932
2,1,0,0,0,0.557474747
8,2,4.6,92,92,0.423603094
8,2,4.6,92,92,0.347727273
2,1,4,80,93,0.287009804
2,1,0,0,0,0.544017094
2,2,4,81,76,0.595238095
2,1,2.1,42,58,0.277497666
2,1,4.3,87,0,0.431500847
7,2,4.7,93,89,0.58442029
2,1,4,80,93,0.429608586
4,1,0,0,0,0.449964986
2,1,3.1,63,77,0.442010582
2,1,0,0,0,0.434906861
2,1,0,0,0,0.47958153
2,2,3.1,63,68,0.600757576
8,2,4.6,92,92,0.2375
1,1,3,60,54,0.407051282
2,1,4,80,93,0.57547619
2,2,3.1,63,68,0.352204586
2,1,3.6,72,93,0.487820513
1,1,3,60,54,0.329423559
2,1,3.1,63,77,0.449265873
8,2,4.6,92,92,0.216384778
2,2,4.7,94,82,0.542665289
2,1,0,0,0,0.447718482
2,2,3.5,69,70,0.374524865
2,1,3.3,65,84,0.456328764
2,2,4.7,94,82,0.53920068
2,2,3.9,77,99,0.485024796
2,2,4.3,85,86,0.431413255
2,2,4.7,93,90,0.46025641
2,1,4.2,84,0,0.370833333
7,2,4.7,93,89,0.477431217
2,1,0,0,0,0.342593583
1,2,3.6,72,85,0.400728114
2,2,3.1,63,68,0.436503205
2,2,4.5,89,87,0.360774029
2,2,3.1,63,68,0.639841871
2,1,2.5,50,0,0.45698489
2,1,0,0,0,0.460602659
2,2,3.1,63,68,0.393021009
2,1,3.4,68,79,0
2,1,0,0,0,1
2,1,0,0,0,0.567654321
4,1,0,0,0,0.514731801
5,1,2.3,45,24,0.457296641
8,2,4.6,92,92,0.381111111
2,2,3.1,63,68,0.475116713
2,1,3.1,63,77,0.443745276
2,1,3.3,66,61,0.360760073
2,2,4.3,87,87,0.356692945
2,1,4.3,86,100,0.555151515
2,1,0,0,0,0.376404127
2,1,2.5,50,0,0.468148148
2,2,3.5,69,70,0.491027155
2,1,0,0,0,0.349616858
2,2,4.7,94,94,0.493470603
2,1,0,0,0,0.446428571
2,1,3.1,63,77,0.411219397
2,2,4.2,83,80,0.482211753
1,2,3.6,72,85,0.417748918
2,1,0,0,0,0.244444444
2,1,0,0,0,0.464082462
2,2,3.1,63,68,0.341666667
1,2,3.6,72,85,0.450477763
2,1,2.5,50,46,0.450146199
2,2,3.5,69,70,0.392373737
2,1,4.3,87,0,0.485782036
2,1,0,0,0,0.62139765
2,2,4.5,89,87,0.35043153
2,1,2.5,50,11,0.489594474
2,1,4.3,87,0,0.448701299
2,1,3.3,66,61,0.425
2,1,0,0,0,0.601587302
2,2,4.7,94,82,0.290734266
2,1,2.8,56,56,0.397826954
2,1,4,80,93,0.484571429
1,2,3.6,72,85,0.48543914
2,1,4.2,84,0,0.501068376
2,1,4.5,90,97,0.504750233
2,2,3.5,69,70,0.469502283
2,1,0,0,0,0.463450292
2,1,4,80,93,0.528070175
2,1,2.5,50,11,0.441568915
2,1,4,80,93,0.395756173
2,2,4.5,89,87,0.405666312
2,1,3,60,62,0.482458104
2,2,3.1,63,68,0.482843915
2,2,3.1,63,68,0.43002381
2,1,0,0,0,0.275
2,1,0,0,0,0.299242424
2,1,4,80,93,0.552568922
2,1,0,0,0,0.480847851
2,1,2.8,56,56,0.458982684
2,1,0,0,0,0.424280904
2,1,4.6,92,90,0.581906907
2,1,3.2,64,98,0.469457658
2,1,0,0,0,0.529081258
2,1,4,80,93,0.518374218
2,1,2.5,50,0,0.435690236
2,2,3.1,63,68,0.348828764
1,2,3.6,72,85,0.4535831
2,2,4.3,86,89,0.435
2,1,3.1,63,77,0.379739871
2,2,3.9,77,99,0.389804196
2,1,4.3,87,0,0.41025641
1,2,3.6,72,85,0.416570142
2,2,3.1,63,68,0.385869565
2,2,3.5,69,70,0.434007145
2,1,0,0,0,0.332142857
2,1,0,0,0,0.364880952
2,2,4.7,94,82,0.43984127
2,0,1.2,24,28,0.24514652
2,1,2.5,50,28,0.519742538
2,2,3.5,69,70,0.42021058
2,1,2.5,50,11,0.602225379
2,2,4.7,94,94,0.493222845
1,2,3.6,72,85,0.473933782
2,2,3.5,69,70,0.476255088
1,2,3.6,72,85,0.496590909
2,2,3.5,69,70,0.457069538
2,2,3.5,69,70,0.391375322
1,1,3,60,54,0.357644628
2,2,4,81,85,0.7775
2,2,4.7,94,82,0.406623932
2,2,4.7,94,94,0.441407864
2,2,4.3,86,89,0.501094691
2,2,4.7,94,82,0.496176046
2,1,3.1,63,77,0.400082349
2,2,3.5,69,70,0.41146414
2,2,3.5,69,70,0.424309024
2,1,2.9,57,71,0.409998517
2,1,0,0,0,0.246794872
1,1,3,60,54,0.785714286
2,2,4.7,94,82,0.416571429
2,2,4.7,94,82,0.464549157
2,1,4.6,92,90,0.258956916
2,2,3.5,69,70,0.483319223
2,1,0,0,0,0.354743321
2,1,2.4,48,3,0.498115079
2,2,3.1,63,68,0.648539886
2,1,2.6,52,57,0.413467963
2,1,0,0,0,0.391944444
2,2,3.1,63,68,0.51466589
2,2,4.7,94,94,0.465267471
3,1,3.9,78,82,0.422058824
2,2,3.5,69,70,0.456923805
3,1,3.9,78,82,0.384502559
3,1,3.9,78,82,0.300770867
2,2,4,81,76,0.47790404
2,1,4,80,93,0.516407867
2,1,0,0,0,0.334344056
1,2,3.6,72,85,0.420628908
3,1,3.9,78,82,0.349425146
2,1,0,0,0,0.530882353
1,2,3.6,72,85,0.454509675
8,2,4.6,92,92,0.364403292
2,2,3.3,65,70,0.346015466
2,2,4,81,85,0.333823529
2,2,3.5,69,70,0.470883362
3,1,2.5,50,52,0.431354718
2,2,4.7,94,94,0.433499193
2,1,2.1,42,58,0.536944444
2,1,3.3,66,61,0.303703704
2,2,4.5,89,87,0.403768998
2,2,4.7,94,82,0.464365664
2,1,0,0,0,0.252106227
2,2,4.7,94,82,0.339305556
2,1,4,80,93,0.56043771
2,2,3.1,63,68,0.386096109
2,2,4.7,94,82,0.462655466
2,1,2.5,50,11,0.406916017
2,2,4.5,89,87,0.46869598
2,2,3.1,63,68,0.293402778
2,2,4.5,89,87,0.471035191
2,2,3.1,63,68,0.601190476
2,1,4,80,93,0.49
2,2,3.5,69,70,0.383986942
2,1,0,0,0,0.362820513
2,2,3.5,69,70,0.459742357
2,1,0,0,0,0.510472485
2,1,0,0,0,0.450338753
1,2,3.6,72,85,0.531609195
