,0
1159,0
1160,0
1161,1
1162,3
1163,0
1164,0
1165,3
1166,3
1167,2
1168,0
1169,3
1170,4
1171,2
1172,1
1173,2
1174,0
1175,0
1176,0
1177,2
1178,2
1179,1
1180,0
1181,0
1182,5
1183,3
1184,5
1185,3
1186,0
1187,1
1188,1
1189,3
1190,3
1191,0
1192,2
1193,3
1194,0
1195,2
1196,1
1197,1
1198,1
1199,0
1200,0
1201,2
1202,2
1203,0
1204,1
1205,3
1206,1
1207,0
1208,0
1209,0
1210,5
1211,0
1212,2
1213,0
1214,2
1215,3
1216,3
1217,0
1218,2
1219,0
1220,0
1221,1
1222,2
1223,1
1224,2
1225,1
1226,0
1227,4
1228,0
1229,5
1230,0
1231,2
1232,3
1233,0
1234,0
1235,6
1236,3
1237,3
1238,0
1239,0
1240,2
1241,4
1242,2
1243,1
1244,2
1245,2
1246,0
1247,0
1248,0
1249,2
1250,1
1251,4
1252,0
1253,0
1254,4
1255,6
1256,4
1257,0
1258,0
1259,2
1260,3
1261,4
1262,0
1263,0
1264,1
1265,2
1266,0
1267,0
1268,0
1269,3
1270,4
1271,2
1272,4
1273,0
1274,1
1275,1
1276,2
1277,3
1278,4
1279,0
1280,0
1281,2
1282,2
1283,0
1284,0
1285,1
1286,4
1287,4
1288,1
1289,0
1290,0
1291,0
1292,4
1293,2
1294,1
1295,0
1296,0
1297,1
1298,3
1299,0
1300,1
1301,0
1302,5
1303,3
1304,4
1305,0
1306,0
1307,4
1308,0
1309,5
1310,0
1311,4
1312,2
1313,2
1314,3
1315,0
1316,4
1317,0
1318,4
1319,0
1320,3
1321,3
1322,4
1323,2
1324,3
1325,5
1326,1
1327,1
1328,0
1329,2
1330,3
1331,4
1332,2
1333,0
1334,3
1335,4
1336,1
1337,2
1338,2
1339,3
1340,0
1341,1
1342,1
1343,0
1344,0
1345,4
1346,1
1347,3
1348,0
1349,0
1350,1
1351,0
1352,2
1353,0
1354,0
1355,0
1356,1
1357,1
1358,2
1359,0
1360,3
1361,2
1362,1
1363,0
1364,2
1365,0
1366,1
1367,0
1368,0
1369,3
1370,2
1371,0
1372,0
1373,2
1374,3
1375,0
1376,0
1377,2
1378,2
1379,2
1380,1
1381,0
1382,4
1383,2
1384,1
1385,3
1386,0
1387,3
1388,4
1389,0
1390,2
1391,4
1392,1
1393,2
1394,1
1395,0
1396,2
1397,0
1398,3
1399,2
1400,3
1401,5
1402,0
1403,3
1404,1
1405,0
1406,5
1407,1
1408,4
1409,4
1410,0
1411,3
1412,0
1413,4
1414,1
1415,0
1416,0
1417,0
1418,1
1419,3
1420,2
1421,0
1422,5
1423,2
1424,0
1425,0
1426,4
1427,2
1428,5
1429,0
1430,2
1431,2
1432,0
1433,0
1434,0
1435,0
1436,3
1437,3
1438,1
1439,0
1440,0
1441,1
1442,0
1443,0
1444,4
1445,0
1446,2
1447,0
1448,5
1449,1
1450,3
1451,0
1452,0
1453,1
1454,0
1455,1
1456,3
1457,0
1458,6
1459,0
1460,1
1461,0
1462,3
1463,3
1464,2
1465,2
1466,3
1467,2
1468,5
1469,2
1470,3
1471,0
1472,0
1473,0
1474,2
1475,3
1476,2
1477,2
1478,2
1479,0
1480,0
1481,0
1482,0
1483,3
1484,0
1485,4
1486,4
1487,1
1488,2
1489,2
1490,1
1491,1
1492,4
1493,2
1494,3
1495,0
1496,1
1497,0
1498,4
1499,3
1500,1
1501,4
1502,1
1503,3
1504,0
1505,2
1506,0
1507,3
1508,4
1509,4
1510,0
1511,3
1512,3
1513,0
1514,0
1515,5
1516,1
1517,3
1518,1
1519,0
1520,1
1521,0
1522,5
1523,0
1524,1
1525,2
1526,1
1527,1
1528,3
1529,0
1530,1
1531,6
1532,3
1533,0
1534,0
1535,1
1536,2
1537,1
1538,2
1539,0
1540,0
1541,0
1542,0
1543,0
1544,3
1545,0
1546,2
1547,4
1548,0
1549,2
1550,1
1551,2
1552,2
1553,0
1554,1
1555,4
1556,2
1557,0
1558,2
1559,0
1560,4
1561,3
1562,0
1563,0
1564,2
1565,3
1566,0
1567,0
1568,2
1569,0
1570,2
1571,0
1572,1
1573,3
1574,0
1575,1
1576,3
1577,0
1578,3
1579,3
1580,1
1581,1
1582,0
1583,3
1584,2
1585,0
1586,0
1587,2
1588,5
1589,3
1590,0
1591,0
1592,0
1593,0
1594,3
1595,0
1596,0
1597,0
1598,0
1599,4
1600,0
1601,3
1602,1
1603,0
1604,2
1605,5
1606,1
1607,4
1608,0
1609,1
1610,0
1611,2
1612,4
1613,0
1614,0
1615,0
1616,2
1617,2
1618,3
1619,0
1620,0
1621,0
1622,2
1623,4
1624,4
1625,2
1626,4
1627,3
1628,2
1629,1
1630,0
1631,0
1632,0
1633,0
1634,4
1635,4
1636,1
1637,0
1638,3
1639,0
1640,4
1641,0
1642,1
1643,3
1644,0
1645,3
1646,2
1647,3
1648,3
1649,0
1650,1
1651,0
1652,2
1653,2
1654,0
1655,2
1656,4
1657,4
1658,0
1659,6
1660,3
1661,0
1662,2
1663,0
1664,0
1665,1
1666,1
1667,0
1668,0
1669,0
1670,2
1671,1
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,1
1679,0
1680,0
1681,2
1682,4
1683,1
1684,2
1685,1
1686,0
1687,3
1688,1
1689,0
1690,0
1691,1
1692,3
1693,4
1694,0
1695,1
1696,0
1697,2
1698,2
1699,1
1700,0
1701,0
1702,3
1703,4
1704,2
1705,1
1706,1
1707,0
1708,1
1709,0
1710,4
1711,0
1712,3
1713,0
1714,4
1715,4
1716,3
1717,2
1718,0
1719,2
1720,3
1721,4
1722,1
1723,2
1724,1
1725,3
1726,3
1727,3
1728,3
1729,3
1730,3
1731,0
1732,0
1733,0
1734,2
1735,2
1736,2
1737,0
1738,4
1739,0
1740,0
1741,2
1742,0
1743,0
1744,2
1745,3
1746,1
1747,0
1748,2
1749,0
1750,4
1751,0
1752,0
1753,3
1754,3
1755,0
1756,0
1757,0
1758,1
1759,3
1760,1
1761,1
1762,0
1763,4
1764,2
1765,2
1766,0
1767,4
1768,2
1769,1
1770,0
1771,2
1772,4
1773,0
1774,2
1775,0
1776,0
1777,1
1778,1
1779,1
1780,4
1781,4
1782,0
1783,1
1784,3
1785,2
1786,2
1787,0
1788,1
1789,0
1790,1
1791,0
1792,0
1793,3
1794,2
1795,1
1796,0
1797,4
1798,1
1799,3
1800,2
1801,3
1802,3
1803,0
1804,4
1805,0
1806,0
1807,3
1808,1
1809,0
1810,1
1811,0
1812,2
1813,1
1814,0
1815,1
1816,0
1817,0
1818,0
1819,0
1820,4
1821,3
1822,2
1823,1
1824,0
1825,2
1826,1
1827,4
1828,2
1829,0
1830,3
1831,2
1832,0
1833,0
1834,0
1835,1
1836,4
1837,0
1838,1
1839,1
1840,2
1841,1
1842,1
1843,0
1844,2
1845,0
1846,3
1847,3
1848,3
1849,2
1850,2
1851,3
1852,4
1853,2
1854,0
1855,0
1856,3
1857,0
1858,0
1859,0
1860,2
1861,3
1862,0
1863,0
1864,3
1865,0
1866,0
1867,0
1868,1
1869,2
1870,0
1871,3
1872,4
1873,2
1874,3
1875,0
1876,0
1877,0
1878,2
1879,0
1880,6
1881,0
1882,2
1883,2
1884,1
1885,0
1886,0
1887,0
1888,4
1889,2
1890,0
1891,1
1892,0
1893,4
1894,3
1895,4
1896,4
1897,0
1898,2
1899,2
1900,5
1901,2
1902,3
1903,3
1904,2
1905,0
1906,4
1907,4
1908,2
1909,0
1910,0
1911,0
1912,0
1913,0
1914,3
1915,5
1916,0
1917,4
1918,4
1919,0
1920,4
1921,0
1922,4
1923,1
1924,0
1925,0
1926,2
1927,0
1928,2
1929,0
1930,4
1931,1
1932,2
1933,0
1934,1
1935,5
1936,0
1937,3
1938,0
1939,4
1940,3
1941,4
1942,3
1943,0
1944,0
1945,4
1946,2
1947,4
1948,0
1949,3
1950,3
1951,0
1952,1
1953,0
1954,0
1955,2
1956,1
1957,0
1958,4
1959,0
1960,2
1961,3
1962,3
1963,2
1964,3
1965,0
1966,3
1967,0
1968,0
1969,1
1970,2
1971,0
1972,2
1973,4
1974,2
1975,1
1976,3
1977,2
1978,3
1979,4
1980,3
1981,1
1982,2
1983,5
1984,6
1985,1
1986,3
1987,1
1988,0
1989,5
1990,1
1991,1
1992,3
1993,0
1994,0
1995,2
1996,2
1997,0
1998,1
1999,0
2000,0
2001,2
2002,2
2003,0
2004,1
2005,0
2006,3
2007,5
2008,2
2009,1
2010,1
2011,0
2012,3
2013,1
2014,0
2015,1
2016,1
2017,1
2018,2
2019,2
2020,6
2021,0
2022,0
2023,0
2024,0
2025,0
2026,1
2027,1
2028,4
2029,0
2030,0
2031,1
2032,2
2033,0
2034,0
2035,4
2036,2
2037,0
2038,0
2039,0
2040,4
2041,2
2042,0
2043,0
2044,2
2045,2
2046,3
2047,3
2048,2
2049,5
2050,3
2051,3
2052,0
2053,1
2054,0
2055,0
2056,4
2057,2
2058,0
2059,4
2060,1
2061,4
2062,2
2063,3
2064,1
2065,0
2066,1
2067,1
2068,3
2069,6
2070,2
2071,1
2072,0
2073,1
2074,0
2075,0
2076,2
2077,3
2078,3
2079,4
2080,2
2081,1
2082,4
2083,1
2084,0
2085,0
2086,2
2087,3
2088,0
2089,4
2090,1
2091,0
2092,2
2093,5
2094,1
2095,1
2096,0
2097,0
2098,2
2099,0
2100,4
2101,1
2102,4
2103,0
2104,1
2105,4
2106,1
2107,5
2108,1
2109,2
2110,2
2111,0
2112,0
2113,2
2114,2
2115,6
2116,3
2117,0
2118,1
2119,1
2120,2
2121,0
2122,1
2123,3
2124,2
2125,0
2126,0
2127,1
2128,0
2129,2
2130,0
2131,0
2132,0
2133,4
2134,4
2135,1
2136,1
2137,3
2138,2
2139,0
2140,0
2141,3
2142,1
2143,0
2144,0
2145,1
2146,0
2147,4
2148,0
2149,0
2150,1
2151,0
2152,2
2153,3
2154,3
2155,1
2156,3
2157,1
2158,2
2159,0
2160,0
2161,0
2162,1
2163,0
2164,3
2165,0
2166,0
2167,3
2168,0
2169,4
2170,0
2171,3
